endbulb_class,hsr_num,msr_num,lsr_num,target_spont_rate,hsr_weight,msr_weight,lsr_weight
yang2009,65,0,0,20.0,1.25682830811e-08,0,0
yang2009,65,0,0,50.0,1.50760650635e-08,0,0
yang2009mean,65,0,0,7.5,1.54972076416e-08,0,0
yang2009mean,65,0,0,20.0,1.74465179443e-08,0,0
yang2009mean,65,0,0,50.0,2.12268829346e-08,0,0
10%-depressing,65,0,0,7.5,4.76493835449e-09,0,0
10%-depressing,65,0,0,20.0,5.41496276855e-09,0,0
10%-depressing,65,0,0,50.0,6.35871887207e-09,0,0
20%-depressing,65,0,0,7.5,4.95796203613e-09,0,0
20%-depressing,65,0,0,20.0,5.6079864502e-09,0,0
20%-depressing,65,0,0,50.0,6.60362243652e-09,0,0
30%-depressing,65,0,0,7.5,5.19905090332e-09,0,0
30%-depressing,65,0,0,20.0,5.87425231934e-09,0,0
30%-depressing,65,0,0,50.0,6.94160461426e-09,0,0
40%-depressing,65,0,0,7.5,5.56678771973e-09,0,0
40%-depressing,65,0,0,20.0,6.27403259277e-09,0,0
40%-depressing,65,0,0,50.0,7.43598937988e-09,0,0
50%-depressing,65,0,0,7.5,6.12678527832e-09,0,0
50%-depressing,65,0,0,20.0,6.92405700684e-09,0,0
50%-depressing,65,0,0,50.0,8.2202911377e-09,0,0
60%-depressing,65,0,0,7.5,7.18574523926e-09,0,0
60%-depressing,65,0,0,20.0,8.04634094238e-09,0,0
60%-depressing,65,0,0,50.0,9.57908630371e-09,0,0
70%-depressing,65,0,0,7.5,9.4783782959e-09,0,0
70%-depressing,65,0,0,20.0,1.06731414795e-08,0,0
70%-depressing,65,0,0,50.0,1.26842498779e-08,0,0
tonic,70,0,0,7.5,4.46510314941e-09,0,0
tonic,70,0,0,20.0,5.10292053223e-09,0,0
tonic,70,0,0,50.0,5.97267150879e-09,0,0
yang2009,70,0,0,7.5,1.07692718506e-08,0,0
yang2009,70,0,0,20.0,1.22997283936e-08,0,0
yang2009,70,0,0,50.0,1.45069122314e-08,0,0
yang2009mean,70,0,0,7.5,1.51622772217e-08,0,0
yang2009mean,70,0,0,20.0,1.71588897705e-08,0,0
yang2009mean,70,0,0,50.0,2.03212738037e-08,0,0
10%-depressing,70,0,0,7.5,4.61158752441e-09,0,0
10%-depressing,70,0,0,20.0,5.25550842285e-09,0,0
10%-depressing,70,0,0,50.0,6.14891052246e-09,0,0
20%-depressing,70,0,0,7.5,4.75730895996e-09,0,0
20%-depressing,70,0,0,20.0,5.45692443848e-09,0,0
20%-depressing,70,0,0,50.0,6.38847351074e-09,0,0
30%-depressing,70,0,0,7.5,5.01136779785e-09,0,0
30%-depressing,70,0,0,20.0,5.74073791504e-09,0,0
30%-depressing,70,0,0,50.0,6.71195983887e-09,0,0
40%-depressing,70,0,0,7.5,5.32493591309e-09,0,0
40%-depressing,70,0,0,20.0,6.16035461426e-09,0,0
40%-depressing,70,0,0,50.0,7.18193054199e-09,0,0
50%-depressing,70,0,0,7.5,5.89408874512e-09,0,0
50%-depressing,70,0,0,20.0,6.77528381348e-09,0,0
50%-depressing,70,0,0,50.0,7.90214538574e-09,0,0
60%-depressing,70,0,0,7.5,6.90269470215e-09,0,0
60%-depressing,70,0,0,20.0,7.89070129395e-09,0,0
60%-depressing,70,0,0,50.0,9.15718078613e-09,0,0
70%-depressing,70,0,0,7.5,9.14192199707e-09,0,0
70%-depressing,70,0,0,20.0,1.04305267334e-08,0,0
70%-depressing,70,0,0,50.0,1.22058868408e-08,0,0
